Neighborhood,Latitude,Longitude
"Alamo Placita, Denver",39.721070000000054,-104.97521999999998
"Athmar Park, Denver",39.70396000000005,-105.01038999999997
"Auraria, Denver",39.745750000000044,-105.00996999999995
"Baker, Denver",39.71117000000004,-104.99208999999996
"Barnum, Denver",39.71816000000007,-105.03261999999995
"Belcaro, Denver",39.70384000000007,-104.94973999999996
"Berkeley, Denver",39.77666000000005,-105.03956999999997
"Capitol Hill, Denver",39.733700000000056,-104.97956999999997
"Central Park, Denver",39.76013000000006,-104.87849999999997
"Chaffee Park, Denver",39.78741000000008,-105.01755999999995
"Cheesman Park, Denver",39.72911000000005,-104.96816999999999
"Cherry Creek, Denver",39.717820000000074,-104.94872999999995
"Chinatown, Denver",39.74001000000004,-104.99201999999997
"City Park West, Denver",39.74545000000006,-104.96719999999999
"City Park, Denver",39.74379000000005,-104.94824999999997
"Civic Center, Denver (neighborhood)",39.73526000000004,-104.99057999999997
"Clayton, Denver",39.76693000000006,-104.95050999999995
"Cole, Denver",39.76633000000004,-104.96593999999999
"Congress Park, Denver",39.73359000000005,-104.95000999999996
"Country Club, Denver",39.721960000000024,-104.96551999999997
Downtown Denver,39.74822000000006,-104.99412999999998
"Elyria-Swansea, Denver",39.781960000000026,-104.95909999999998
"Globeville, Denver",39.78194000000008,-104.98522999999994
"Hale, Denver",39.732710000000054,-104.93041999999997
"Hampden South, Denver",39.645260000000064,-104.89521999999994
"Highland, Denver",39.76442000000003,-105.01197999999994
"Hilltop, Denver",39.71861000000007,-104.92459999999994
"Jefferson Park, Denver",39.75121000000007,-105.02134999999998
"Lincoln Park, Denver",39.72896000000003,-105.00221999999997
"LoDo, Denver",39.75261000000006,-104.99950999999999
"Lowry, Denver",39.71623840920247,-104.9080830819771
"Montbello, Denver",39.793210000000045,-104.83385999999996
"Montclair, Denver",39.73166000000003,-104.91336999999999
"North Capitol Hill, Denver",39.74425000000008,-104.98107999999996
"Park Hill, Denver",39.74378430754825,-104.97337897689235
"Regis, Denver",39.787420000000054,-105.04098999999997
"Ruby Hill, Denver",39.69106000000005,-105.00873999999999
Sloan Lake (Colorado),39.752560000000074,-105.03812999999997
"Speer, Denver",39.71933000000007,-104.97999999999996
Stapleton International Airport,39.85138000000006,-104.68095999999997
"Sun Valley, Denver",39.73642000000007,-105.02176999999995
"Sunnyside, Denver",39.77495000000005,-105.00643999999994
"Union Station, Denver",39.753490000000056,-104.99887999999999
"University, Denver",39.67850000000004,-104.96661999999998
"Valverde, Denver",39.71846000000005,-105.01603999999998
"Villa Park, Denver",39.731400000000065,-105.03948999999994
"Virginia Village, Denver",39.68933000000004,-104.92614999999995
"Washington Park, Denver",39.70204000000007,-104.96574999999996
"Washington Virginia Vale, Denver",39.70381000000003,-104.91462999999999
"West Colfax, Denver",39.740350000000035,-105.04143999999997
"Whittier, Denver",39.75634000000008,-104.96594999999996
